word;meaning
Otuán;Ogboin town
otumopú;heart (cards)
otúo;collect
óusikou;masquerade hump
oviín;go out
ovoumọ́;test
ovuvuú;lungs
owéin;bite
owoutụayé;chimney
oyobá;banana
oyomá;used in
ọ¹;they
ọ²;you (object form)
ọdẹ́dẹ̀;medicinal grass
ọdịlẹ́;leopard
ọgịẹ́n;dagger
ọgọnọyé;moon
ọkẹkẹ́;Greater White-nosed Monkey
ọkọọ́¹;hire
ọkọọ́²;be short of
ọkọ́tịbàụ-indóu;butterfly fish
ọkọụ́;Calabar bean tree
ọkpọ́kịrị¹;persuade
ọkpọ́kịrị²;sacrifice piece
ọkpọọ́¹;world
ọlálị;feast
ọmụmụ́;house-fly
ọná;let's go
ọngọ́¹;search for snails
ọnọ́ụn¹;mount drum skin
ọnọ́ụn²;prepare rope framework
ọpaí;catfish
ọpụ́ra;skin
ọpụrụ́;seize handful
ọrọ́¹;you
ọrọ́bà;rubber
ọrọọ́¹;they (subject form)
ọsọ́mọ̀;unknown
ọsụ́baị;hoe
ọsụ́ma;blacksmith work
ọsụ́mayenghi;master
ọwẹịyé¹;fear
ọwọwọ́;funnel trap
paán¹;hoot
paaraụyé¹;answer
paghaí;appear to warn
páị;pawn
páraịn;free
pararaán;flattish
pásisei;please
pebí;allow
péni;pin
penií;be entangled
pénimọ;force
périyan;surround
pesí;youth
pẹlẹ¹;buy measure
pẹ́lẹ¹;cut
pẹlẹí;break
pẹlẹlụụ;meticulous
pẹ́rẹnpẹrẹn;light and thin
pẹturólù;petroleum
píge;pin fish for roasting
píii;hooting sound
piín;be near
pịtẹ́;trap
pónomọ;force
póo¹;pull out
posí;youth
posoú;meet
pọ́nị;pull off
pọọ́¹;wash
pọọ́²;speak ill
pọ́pọ¹;make watery
prómọ;group together
puí;separate
pulií;break into pieces
pusí;become wet
pụ́kọụ;rod from kọ́rọ
pụ́mụ¹;throw with force
pụ́pụ;cheer
rẹbẹrẹbẹ́;postpone
rọ́bà;rubber
rúlà;ruler
sa;where is it
sáị¹;bail
salá¹;comb
Sampọụ́;village in Kólokùmá
sanloó;gills
sára;be quick
saradaá;flower
saraụ́¹;commit piracy
saraụ́²;sing chorus
se;oh
serí;time
sẹẹ́n¹;shave
sẹlẹ́¹;choose
sẹ́sẹrẹ;lean slanting
síiri;rub
síkou;masquerade hump
simení²;pity
singberí;scratch
sịyaịndọọ́n;sleep
sóu;dig
sọ́kị¹;pick out
sọ́ọnlọ¹;tickle
subeí;gun
subó¹;carry
sumení²;pity
sungberí;scratch
suó²;sky
súu;lazy
sụ́n¹;stretch
sụ́ọ¹;enter
sụ́ụrụ;wash
tába¹;lick
taịndítàịndí;drum rhythm
tákị¹;carry on pole
támì;term
tán¹;collect
tandí;wooden drum
tanwáịn;brownish fruit
tararaan;shallow
tárịpaị;head
taụ́¹;dip into soup
téi¹;play
teín¹;shoot
temí;pound
téri¹;heave up
tẹ́tẹbụ̀rẹ́;Laughing Dove
tẹ́tẹmọ;be cautious
tíkpi;stir water
titií³;act seriously
toí¹;stoop
tokoní¹;honour
tólumọ;teach
tomátòsi;tomato
toorú;chew
toróùn;brain
toú¹;bend down
tọbọụgbaléi;cloth for baby
tọkí;riddle
tọ́kị¹;clicking sound
tọ́n³;dish out
tọ́nghọ̀;penis
tọ́nmọdịàye;demonstrative
tọ́rụ¹;eye
túbo¹;bargain
túguru;push
tún¹;sing
túo¹;caulk
tuwáà;drive away animals
túwèí;cork
tụ́a;put
tụọ́;cook
u¹;he
ubé;African pear
ubí;grass-cutting stick
udisituó;white fungus
ufoú;calf of leg
ufúre;conceive
ugé;feast
ugú¹;louse
ukíe;think
ukíri;crawl
ukoí¹;kneel
ukpuú;sugar-cane
ukú¹;be heavy
ukuré;stern of canoe
umbú¹;be sharp
umbú²;navel
umbubulaá;flashing insect
umbúlùlú;kidney
ungrú¹;hurry up
ụpụ́n;lower abdomen
ụsaụ́;African pike
ụtáràn;boiled fufu
ụwárà;grass heap
wála¹;scratch
wárị¹;piece
wérein;stop completely
werí¹;abuse
wimọ́¹;scrape weeds
wó²;we
wóko¹;wash in basket
wólo;reveal
wónì;we
wórein;cease instantly
wóro;scoop hole
wóron;chop fronds
wọ́wọị;plane
wúbuù;bursting sound
wụsụụ́n;sweet smell
yaá¹;collect
yábị;mother's town relation
yé¹;you (subject form)
yeé¹;I (subject form)
yerín¹;live
yésụọbaị;lucky day
yẹ́lò;yellow pepper
yóoro;bore hole
yóu²;appeal
yoún;silence
yọrọ́¹;tie bamboo
yọụ́;paddle
zála;reveal
zeereí;be depressed
Zibaaraụ¹;God
zíge;shake
zií¹;bear
ziii;heavy rain sound
zinií;another thing
zúgo;contaminate
zúu;draw
zúuru;rinse mouth
zúzu¹;force out palm nuts
zụọ́;save
and;and
poú¹;pull
tẹ́mẹ¹;honor dead
tọtọtọ;complete
káagha;untimely death
kí;exclamation
opúo;peel
ọ́rịyọọ̀;serve you right
paaraụyé²;redemption
díià;please
dụ́ụ²;light fire
eréamaovin;jaundice disease
ẹ́rị²;see with eye
ẹ́rị³;foresee
fọ́ụnmọ;drag towards
fungú¹;throw over hip
fungú²;jerk rod
fúo-owèi;son-in-law
gbóro¹;plant
gbọ́ụ²;interrupt
gésiye;truth
goó²;form pattern
ínyòo;yes
ịrụ́bụ-ịrụbụ;stunted person
ịsụ́n²;tie rope
